Fecha,BONOMX10,BONOUSA10,Close
04/06/20 0:00,6.09,0.825,5.265
05/06/20 0:00,6.24,0.893,5.347
08/06/20 0:00,6.24,0.878,5.362
09/06/20 0:00,6.17,0.824,5.346
10/06/20 0:00,6.07,0.736,5.334
11/06/20 0:00,5.99,0.666,5.324
12/06/20 0:00,5.95,0.71,5.24
15/06/20 0:00,5.94,0.72,5.22
16/06/20 0:00,5.99,0.741,5.249
17/06/20 0:00,5.96,0.733,5.227
18/06/20 0:00,5.95,0.707,5.243
19/06/20 0:00,5.87,0.694,5.176
22/06/20 0:00,5.89,0.71,5.18
23/06/20 0:00,5.9,0.715,5.185
24/06/20 0:00,5.97,0.679,5.291
25/06/20 0:00,5.93,0.682,5.248
26/06/20 0:00,5.84,0.64,5.2
29/06/20 0:00,5.84,0.627,5.213
30/06/20 0:00,5.79,0.658,5.132
01/07/20 0:00,5.71,0.676,5.034
02/07/20 0:00,5.66,0.669,4.991
06/07/20 0:00,5.64,0.678,4.962
07/07/20 0:00,5.71,0.64,5.07
08/07/20 0:00,5.74,0.666,5.074
09/07/20 0:00,5.72,0.613,5.107
10/07/20 0:00,5.64,0.643,4.997
13/07/20 0:00,5.59,0.618,4.972
14/07/20 0:00,5.59,0.625,4.965
15/07/20 0:00,5.62,0.633,4.987
16/07/20 0:00,5.73,0.618,5.112
17/07/20 0:00,5.78,0.623,5.157
20/07/20 0:00,5.8,0.613,5.187
21/07/20 0:00,5.76,0.605,5.155
22/07/20 0:00,5.7,0.6,5.1
23/07/20 0:00,5.73,0.577,5.153
24/07/20 0:00,5.72,0.587,5.133
27/07/20 0:00,5.67,0.615,5.055
28/07/20 0:00,5.65,0.579,5.071
29/07/20 0:00,5.66,0.577,5.083
30/07/20 0:00,5.65,0.545,5.105
31/07/20 0:00,5.69,0.533,5.157
03/08/20 0:00,5.71,0.554,5.156
04/08/20 0:00,5.73,0.512,5.218
05/08/20 0:00,5.7,0.549,5.151
06/08/20 0:00,5.68,0.538,5.142
07/08/20 0:00,5.71,0.566,5.144
10/08/20 0:00,5.745,0.581,5.164
11/08/20 0:00,5.76,0.643,5.117
12/08/20 0:00,5.75,0.673,5.077
13/08/20 0:00,5.74,0.717,5.023
14/08/20 0:00,5.68,0.709,4.971
17/08/20 0:00,5.725,0.692,5.033
18/08/20 0:00,5.72,0.67,5.05
19/08/20 0:00,5.7,0.685,5.015
20/08/20 0:00,5.725,0.652,5.073
21/08/20 0:00,5.74,0.636,5.104
24/08/20 0:00,5.79,0.654,5.136
25/08/20 0:00,5.8,0.688,5.112
26/08/20 0:00,5.87,0.688,5.182
27/08/20 0:00,5.84,0.754,5.086
28/08/20 0:00,5.81,0.724,5.086
31/08/20 0:00,5.81,0.706,5.104
01/09/20 0:00,5.78,0.672,5.108
02/09/20 0:00,5.77,0.648,5.122
